Produto,Custo_Manufatura,Preco_Venda,Spread,Margem_Perc,Mercado_Venda,Sourcing_Insumos
Bronze Axe Head,11.0,1.0,-10.0,-1000.0,merrie-nene,Bronze Sheet@inis_gallia-trecassis; Bronze Ingot@ancien-volvestre
Bronze Knot Circlet,12.02,2.0,-10.02,-501.0,kerys-dolavon,Bronze Ingot@ancien-volvestre; Sewing Needles@kerys-dreger
Oakwarden’s Tiara,12.02,2.0,-10.02,-501.0,kerys-dolavon,Bronze Ingot@ancien-volvestre; Sewing Needles@kerys-dreger
Attuned Bronze Greatmaul,12.04,2.0,-10.04,-502.0,kerys-aven,Daisy@inis_gallia-trecassis; Long Wood Stock@kerys-aven; Bronze Ingot@ancien-volvestre; Bronze Sheet@inis_gallia-trecassis
Potion of Spirit II,10.23,0.1,-10.13,-10133.3,kerys-bronyr,Wolfsbane Leaf Extract@merrie-ulaid; Water@ancien-armanhac; Vial@ancien-lavedan
Wrought Iron Hinges,12.5,2.0,-10.5,-525.0,kerys-tremen,Wrought Iron Sheet@ancien-astarac; Iron Nails@merrie-wiht
Fine Wooden Tankard,11.58,1.0,-10.58,-1058.0,ancien-armanhac,Fine Wooden Plank@ancien-tursan; Iron Bar@inis_gallia-nones
Iron Hinges,13.0,2.25,-10.75,-477.8,merrie-ulaid,Iron Sheet@inis_gallia-langres; Bronze Nails@kerys-aven
Bronze Greatmaul,12.0,1.0,-11.0,-1100.0,merrie-yarborn,Long Wood Stock@kerys-aven; Bronze Ingot@ancien-volvestre; Bronze Sheet@inis_gallia-trecassis
Furnace Parts,61.0,50.0,-11.0,-22.0,kerys-tremen,Brick@merrie-bearm; Boiled Leather@kerys-llydaw; Charcoal@merrie-shire
Bronze Mace,12.0,1.0,-11.0,-1100.0,merrie-bearm,Long Wood Stock@kerys-aven; Bronze Ingot@ancien-volvestre; Bronze Sheet@inis_gallia-trecassis
Attuned Bronze Mace,12.1,1.0,-11.1,-1110.0,ancien-gravas,Meadowsweet Extract@inis_gallia-trecassis; Long Wood Stock@kerys-aven; Bronze Ingot@ancien-volvestre; Bronze Sheet@inis_gallia-trecassis
Roselace Hose,21.12,10.0,-11.12,-111.2,merrie-caster,Linen Cloth@inis_gallia-ardennes; Wool Yarn@ancien-tursan; Sewing Needles@kerys-dreger; Silver Thread@kerys-bronyr
Iron Nails,11.5,0.01,-11.49,-114900.0,merrie-wiht,Iron Bar@inis_gallia-nones
Iron Studs,11.5,0.01,-11.49,-114900.0,ancien-astarac,Iron Bar@inis_gallia-nones
Wheat Flour,12.0,0.5,-11.5,-2300.0,merrie-nene,Wheat Grain@inis_gallia-langres
Wrought Iron Mace,41.6,30.0,-11.6,-38.7,inis_gallia-ardennes,Mace Grip@inis_gallia-jura; Wrought Iron Ingot@kerys-tremen; Wrought Iron Spike@ancien-tursan; Coarse Leather Band@merrie-ardbog; Iron Nails@merrie-wiht
Iron Pot with Lid,36.76,25.0,-11.76,-47.0,inis_gallia-ardennes,Wrought Iron Sheet@ancien-astarac; Iron Studs@ancien-astarac; Tallow@merrie-wiht
Wool Felt,32.0,20.0,-12.0,-60.0,kerys-aven,Wool Cloth@kerys-tremen; Wool Yarn@ancien-tursan; Horn Needles@kerys-tremen
Fruity Rye Bread,12.07,0.05,-12.02,-24049.5,merrie-down,Rye Dough@inis_gallia-vitry; Elderberry@inis_gallia-ardennes; Lard@kerys-dreger
Fatty Boar Stew,12.84,0.75,-12.09,-1612.4,inis_gallia-nones,Meat Strips@kerys-dreger; Yellow Onion@inis_gallia-nones; Boar Round Meat@merrie-shire; Bay Bolete@ancien-armanhac
Iron Skinning Knife,13.3,1.0,-12.3,-1230.0,kerys-aven,Iron Knife Blade@merrie-ulaid; Long Wood Stock@kerys-aven; Iron Sheet@inis_gallia-langres; Coarse Leather Band@merrie-ardbog
Midnight Rose Mantle,37.12,24.0,-13.12,-54.7,kerys-bronyr,Linen Cloth@inis_gallia-ardennes; Wool Yarn@ancien-tursan; Sewing Needles@kerys-dreger; Silver Thread@kerys-bronyr
Ironside's Greaves of Vital Pulse,15.0,1.0,-14.0,-1400.0,inis_gallia-langres,Bronze Ingot@ancien-volvestre
Iron Knife Blade,23.0,9.0,-14.0,-155.6,merrie-ulaid,Iron Bar@inis_gallia-nones
Brewery Sign,24.17,10.0,-14.17,-141.7,ancien-lavedan,Wrought Iron Sheet@ancien-astarac; Iron Nails@merrie-wiht; Wooden Beam@merrie-ardbog
Tanned Hide Rug,16.67,2.0,-14.67,-733.3,ancien-armanhac,Animal Hide@inis_gallia-langres
Wrought Iron Arrowhead,15.0,0.3,-14.7,-4900.0,merrie-down,Wrought Iron Ingot@kerys-tremen
Glazed Tiles,16.0,0.9,-15.1,-1677.8,inis_gallia-ardennes,Clay@merrie-yarborn; Charcoal@merrie-shire; Sand@inis_gallia-ardennes
Tailoring Tools,20.3,5.0,-15.3,-306.0,inis_gallia-javerdus,Heavy Top Grain Leather@merrie-nene; Iron Knife Blade@merrie-ulaid; Antler@merrie-ardbog
Fine Leather,16.0,0.6,-15.4,-2566.7,merrie-ardbog,Boiled Leather@kerys-llydaw; Lime@inis_gallia-morvan; Water@ancien-armanhac
Cinderlace Hose,21.12,5.0,-16.12,-322.4,merrie-shire,Linen Cloth@inis_gallia-ardennes; Wool Yarn@ancien-tursan; Sewing Needles@kerys-dreger; Silver Thread@kerys-bronyr
Iron Ingot,18.31,2.0,-16.31,-815.6,merrie-yarborn,Impure Iron Ore@ancien-gravas; Charcoal@merrie-shire
Aurum Buttons,22.0,5.0,-17.0,-340.0,kerys-dolavon,Aurum Ingot@merrie-yarborn; Cotton Cord@merrie-nene
Heavy Quilted Wool Core,28.0,10.0,-18.0,-180.0,merrie-shire,Fine Wool Cloth@kerys-tremen; Linen String@inis_gallia-langres; Horn Needles@kerys-tremen
Coarse Wool Cloth,20.0,2.0,-18.0,-900.0,merrie-gael,Wool Yarn@ancien-tursan
Brushed Gold Bracelet,20.0,2.0,-18.0,-900.0,merrie-ulaid,Aurum Ingot@merrie-yarborn
Pilgrim's Vambraces II,20.8,2.0,-18.8,-940.0,inis_gallia-atigny,Iron Sheet@inis_gallia-langres; Coarse Leather Band@merrie-ardbog; Bronze Buckle@inis_gallia-nones; Iron Studs@ancien-astarac
Shiny Gold Earring,24.0,5.0,-19.0,-380.0,ancien-lavedan,Silver Ingot@kerys-tremen; Pearl@kerys-dolavon
Silver Arrowhead,20.0,0.9,-19.1,-2122.2,inis_gallia-langres,Silver Ingot@kerys-tremen
Baking Tools,24.33,5.0,-19.33,-386.6,kerys-bronyr,Iron Sheet@inis_gallia-langres; Fine Linen Cloth@inis_gallia-nones; Fine Wooden Plank@ancien-tursan; Boiled Leather@kerys-llydaw
Wrought Iron Skinning Knife,21.4,2.0,-19.4,-970.0,inis_gallia-aras,Iron Knife Blade@merrie-ulaid; Wrought Iron Sheet@ancien-astarac; Long Fine Wood Stock@kerys-llydaw; Coarse Leather Band@merrie-ardbog
Tonic of Vitality I,25.75,6.0,-19.75,-329.2,inis_gallia-javerdus,Loios' Tears Leaf Extract@merrie-gael; Water@ancien-armanhac; Large Vial@kerys-aven
Large Potion of Spirit II,25.75,6.0,-19.75,-329.2,inis_gallia-javerdus,Loios' Tears Leaf Extract@merrie-gael; Water@ancien-armanhac; Large Vial@kerys-aven
Coarse Cotton Cloth,25.0,5.0,-20.0,-400.0,inis_gallia-vitry,Cotton Cord@merrie-nene
Health Tonic I,25.75,5.0,-20.75,-415.0,inis_gallia-javerdus,Skullcap Extract@inis_gallia-langres; Water@ancien-armanhac; Large Vial@kerys-aven
Wrought Iron Pickaxe,36.0,15.0,-21.0,-140.0,ancien-lavedan,Axe Handle@ancien-tursan; Wrought Iron Spike@ancien-tursan; Wrought Iron Bar@inis_gallia-langres; Coarse Leather Band@merrie-ardbog
Potion of the Aegis,28.75,7.5,-21.25,-283.3,inis_gallia-javerdus,Elegant Stinkhorn Extract@inis_gallia-langres; Water@ancien-armanhac; Large Vial@kerys-aven
Aegis Potion X,23.75,2.5,-21.25,-850.0,kerys-ewyas,Bladder Campion Extract@merrie-shire; Water@ancien-armanhac; Large Vial@kerys-aven
Iron Heater,22.6,1.0,-21.6,-2160.0,kerys-retz,Plank@inis_gallia-langres; Iron Sheet@inis_gallia-langres; Iron Studs@ancien-astarac; Coarse Leather Band@merrie-ardbog
Pilgrim's Breeches IV,73.0,51.0,-22.0,-43.1,kerys-bronyr,Horn Needles@kerys-tremen; Fine Wool Cloth@kerys-tremen; Leather Straps@inis_gallia-langres
Silver Thread,24.0,2.0,-22.0,-1100.0,kerys-bronyr,Silver Ingot@kerys-tremen; Cotton Cord@merrie-nene
Minor Tonic of Vitality III,23.75,1.0,-22.75,-2275.0,ancien-lavedan,Bladder Campion Extract@merrie-shire; Water@ancien-armanhac; Large Vial@kerys-aven
Iron Oak Tiara,24.02,1.0,-23.02,-2302.0,kerys-dreger,Iron Ingot@merrie-yarborn; Sewing Needles@kerys-dreger
Iron Bind Circlet,24.02,1.0,-23.02,-2302.0,kerys-dreger,Iron Ingot@merrie-yarborn; Sewing Needles@kerys-dreger
Pilgrim's Mitts IV,63.1,40.0,-23.1,-57.8,kerys-aven,Horn Needles@kerys-tremen; Fine Wool Cloth@kerys-tremen; Linen String@inis_gallia-langres
Pilgrim's Armbands IV,63.14,40.0,-23.14,-57.8,kerys-aven,Horn Needles@kerys-tremen; Fine Wool Cloth@kerys-tremen; Linen String@inis_gallia-langres; Coarse Leather String@ancien-volvestre
Iron Axe Head,24.0,0.5,-23.5,-4700.0,ancien-tursan,Iron Sheet@inis_gallia-langres; Iron Ingot@merrie-yarborn
Two-handed Wrought Iron Spear,44.0,20.0,-24.0,-120.0,kerys-dolavon,Spear Shaft@inis_gallia-jura; Wrought Iron Spike@ancien-tursan; Bronze Nails@kerys-aven; Coarse Leather Band@merrie-ardbog; Wrought Iron Bar@inis_gallia-langres
Fine Linen Cloth,26.25,1.25,-25.0,-2000.0,inis_gallia-nones,Linen Cloth@inis_gallia-ardennes
Ivorylace Hose,45.12,20.0,-25.12,-125.6,kerys-bronyr,Linen Cloth@inis_gallia-ardennes; Wool Yarn@ancien-tursan; Sewing Needles@kerys-dreger; Aurum Thread@inis_gallia-vitry
Cooking Tools,36.0,10.0,-26.0,-260.0,inis_gallia-langres,Iron Sheet@inis_gallia-langres; Heavy Top Grain Leather@merrie-nene; Bronze Bar@inis_gallia-aras; Charcoal@merrie-shire
Wrought Iron Greatmaul,41.6,15.0,-26.6,-177.3,inis_gallia-langres,Mace Grip@inis_gallia-jura; Wrought Iron Ingot@kerys-tremen; Wrought Iron Spike@ancien-tursan; Coarse Leather Band@merrie-ardbog; Iron Nails@merrie-wiht
Large Potion of Spirit I,27.75,1.0,-26.75,-2675.0,inis_gallia-jura,Wolfsbane Leaf Extract@merrie-ulaid; Water@ancien-armanhac; Large Vial@kerys-aven
Fine Wool Cloth,30.0,2.5,-27.5,-1100.0,kerys-tremen,Wool Cloth@kerys-tremen
Cold Resistance II,29.65,2.0,-27.65,-1382.5,inis_gallia-jura,Deadly Nightshade Fruit Extract@ancien-astarac; Water@ancien-armanhac; Large Vial@kerys-aven
Silvery Earring,42.67,15.0,-27.67,-184.4,merrie-ulaid,Bronze Ingot@ancien-volvestre; Tourmaline@inis_gallia-nones
Wool Cloth,30.0,2.0,-28.0,-1400.0,kerys-tremen,Coarse Wool Cloth@merrie-gael
Lunar Oak Tiara,48.02,19.0,-29.02,-152.7,kerys-bronyr,Silver Ingot@kerys-tremen; Sewing Needles@kerys-dreger
Pilgrim's Vambraces III,51.0,20.0,-31.0,-155.0,kerys-llydaw,Wrought Iron Lames@kerys-bronyr; Rough Leather Straps@inis_gallia-langres; Wrought Iron Studs@ancien-lavedan
Pilgrim's Bracers IV,56.6,25.0,-31.6,-126.4,kerys-retz,Medium Top Grain Leather@merrie-yarborn; Leather Pads@ancien-lavedan; Leather Straps@inis_gallia-langres; Cotton Wadding@merrie-down; Linseed Oil@kerys-aven
Weaponsmithing Tools,42.0,10.0,-32.0,-320.0,inis_gallia-trecassis,Wrought Iron Sheet@ancien-astarac; Heavy Top Grain Leather@merrie-nene; Iron Nails@merrie-wiht; Bronze Sheet@inis_gallia-trecassis
Wrought Iron Chopping Axe,37.0,5.0,-32.0,-640.0,kerys-dreger,Axe Handle@ancien-tursan; Wrought Iron Axe Head@merrie-ulaid; Bronze Nails@kerys-aven; Coarse Leather Band@merrie-ardbog
Wrought Iron Handspear,44.0,10.0,-34.0,-340.0,kerys-llydaw,Spear Shaft@inis_gallia-jura; Wrought Iron Spike@ancien-tursan; Bronze Nails@kerys-aven; Coarse Leather Band@merrie-ardbog; Wrought Iron Bar@inis_gallia-langres
Wrought Iron Spike,50.0,15.0,-35.0,-233.3,ancien-tursan,Wrought Iron Bar@inis_gallia-langres
Aurum Thread,40.0,5.0,-35.0,-700.0,inis_gallia-vitry,Aurum Ingot@merrie-yarborn; Cotton Cord@merrie-nene
Harlequin Bourrelet,85.12,50.0,-35.12,-70.2,ancien-tolosa,Linen Cloth@inis_gallia-ardennes; Wool Yarn@ancien-tursan; Sewing Needles@kerys-dreger; Pearl@kerys-dolavon
Wrought Iron Battleaxe,51.2,15.0,-36.2,-241.3,merrie-wiht,Axe Handle@ancien-tursan; Wrought Iron Axe Head@merrie-ulaid; Iron Nails@merrie-wiht; Coarse Leather Band@merrie-ardbog; Wrought Iron Spike@ancien-tursan
Slender Silver Earring,42.67,4.0,-38.67,-966.7,kerys-dolavon,Bronze Ingot@ancien-volvestre; Tourmaline@inis_gallia-nones
Silver Opal Amulet,84.0,45.0,-39.0,-86.7,kerys-tremen,Silver Ingot@kerys-tremen; Opal@merrie-ulaid
Pilgrim's Helmet II,41.0,2.0,-39.0,-1950.0,inis_gallia-aras,Iron Sheet@inis_gallia-langres; Coarse Leather Band@merrie-ardbog; Bronze Buckle@inis_gallia-nones; Iron Studs@ancien-astarac
Golden Earring,44.0,5.0,-39.0,-780.0,ancien-lavedan,Silver Ingot@kerys-tremen; Opal@merrie-ulaid
Vial,40.0,0.6666666666666666,-39.33,-5900.0,ancien-lavedan,Glass@ancien-tolosa
Iron Sword Blade,57.5,18.0,-39.5,-219.4,ancien-gravas,Iron Bar@inis_gallia-nones
Iron Anvil Head,43.6,4.0,-39.6,-990.0,inis_gallia-aras,Iron Ingot@merrie-yarborn; Charcoal@merrie-shire
Pilgrim's Breeches III,46.0,5.0,-41.0,-820.0,merrie-down,Horn Needles@kerys-tremen; Fine Linen Cloth@inis_gallia-nones; Rough Leather Straps@inis_gallia-langres
Armorer Tools,42.0,1.0,-41.0,-4100.0,inis_gallia-trecassis,Wrought Iron Sheet@ancien-astarac; Heavy Top Grain Leather@merrie-nene; Iron Nails@merrie-wiht; Bronze Sheet@inis_gallia-trecassis
Pilgrim's Hood III,44.5,3.0,-41.5,-1383.3,ancien-lavedan,Horn Needles@kerys-tremen; Fine Linen Cloth@inis_gallia-nones; Cotton Cord@merrie-nene
Silver Thread Circlet,48.02,3.0,-45.02,-1500.7,inis_gallia-langres,Silver Ingot@kerys-tremen; Sewing Needles@kerys-dreger
Large Vial,50.0,3.75,-46.25,-1233.3,kerys-aven,Glass@ancien-tolosa
Shepherd's Hairband of Quiet Gaze II,47.46,1.0,-46.46,-4646.4,inis_gallia-langres,Worn Out Locket@kerys-llydaw; Sigil of Ergamen@kerys-bronyr; Wolfsbane Seed Extract@inis_gallia-langres; Sewing Needles@kerys-dreger; Linen Cloth@inis_gallia-ardennes; Wool Yarn@ancien-tursan
Wrought Iron Heater,65.8,10.0,-55.8,-558.0,kerys-llydaw,Fine Wooden Plank@ancien-tursan; Wrought Iron Sheet@ancien-astarac; Wrought Iron Studs@ancien-lavedan; Coarse Leather Band@merrie-ardbog
Pilgrim's Helmet III,100.94,45.0,-55.94,-124.3,ancien-astarac,Wrought Iron Lames@kerys-bronyr; Coarse Leather String@ancien-volvestre; Bronze Buckle@inis_gallia-nones; Wrought Iron Studs@ancien-lavedan
Pilgrim's Armbands III,61.89,5.0,-56.89,-1137.8,inis_gallia-atigny,Horn Needles@kerys-tremen; Fine Linen Cloth@inis_gallia-nones; Linen String@inis_gallia-langres; Coarse Leather String@ancien-volvestre
Pilgrim's Mitts III,61.85,4.0,-57.85,-1446.2,ancien-lavedan,Horn Needles@kerys-tremen; Fine Linen Cloth@inis_gallia-nones; Linen String@inis_gallia-langres
Attuned Hunter's Bow,66.05,8.0,-58.05,-725.6,kerys-pladenn,Carved Collarstone@inis_gallia-jura; Bow Stave@kerys-pladenn; Boar Sinew@merrie-gael; Linseed Oil@kerys-aven; Coarse Leather Band@merrie-ardbog
Wrought Iron Ingot,63.6,3.0,-60.6,-2020.0,kerys-tremen,Iron Ingot@merrie-yarborn; Charcoal@merrie-shire
Silver Opal Necklace,84.0,20.0,-64.0,-320.0,ancien-tolosa,Silver Ingot@kerys-tremen; Opal@merrie-ulaid
Sylvan Staff II,74.1,9.0,-65.1,-723.3,inis_gallia-nones,Lily of the Valley Extract@inis_gallia-langres; Spear Shaft@inis_gallia-jura; Iron Bar@inis_gallia-nones; Linen String@inis_gallia-langres; Coarse Leather Band@merrie-ardbog
Staff of Divine II,70.7,5.0,-65.7,-1314.0,kerys-bronyr,Tansy Extract@inis_gallia-trecassis; Spear Shaft@inis_gallia-jura; Iron Bar@inis_gallia-nones; Linen String@inis_gallia-langres; Coarse Leather Band@merrie-ardbog
Cotton Cloth,75.0,6.0,-69.0,-1150.0,inis_gallia-ardennes,Coarse Cotton Cloth@inis_gallia-vitry
Verdant Bourrelet,85.12,15.0,-70.12,-467.5,inis_gallia-ardennes,Linen Cloth@inis_gallia-ardennes; Wool Yarn@ancien-tursan; Sewing Needles@kerys-dreger; Pearl@kerys-dolavon
Pilgrim's Legguards II,121.7,50.0,-71.7,-143.4,inis_gallia-morvan,Iron Sheet@inis_gallia-langres; Coarse Leather Band@merrie-ardbog; Bronze Buckle@inis_gallia-nones; Iron Studs@ancien-astarac
Iron Pickaxe,81.5,1.0,-80.5,-8050.0,inis_gallia-nones,Axe Handle@ancien-tursan; Iron Spike@inis_gallia-nones; Iron Bar@inis_gallia-nones; Coarse Leather Band@merrie-ardbog
Sanctified Oil,173.5,80.0,-93.5,-116.9,merrie-wiht,Ambergrasp Extract@kerys-dolavon; Chiseled Canonites@kerys-dolavon
Attuned Iron Greatmaul,243.5,150.0,-93.5,-62.3,merrie-gael,Furry Collarstone@ancien-salias; Mace Grip@inis_gallia-jura; Iron Ingot@merrie-yarborn; Iron Spike@inis_gallia-nones; Coarse Leather Band@merrie-ardbog; Bronze Nails@kerys-aven
Steel Ingot,108.0,10.0,-98.0,-980.0,kerys-dolavon,Wrought Iron Ingot@kerys-tremen; Charcoal@merrie-shire
Dandy Headband,124.0,19.0,-105.0,-552.6,kerys-bronyr,Silver Ingot@kerys-tremen; Opal@merrie-ulaid
Vanguard's Surcoat of Divine Fervor II,108.21,2.0,-106.21,-5310.7,ancien-armanhac,Worn Out Locket@kerys-llydaw; Rosary of the 99 Pains@ancien-salias; Lead@ancien-gravas; Suede Leather@kerys-tremen; Weapons Belt@kerys-bronyr; Bronze Studs@kerys-aven
Pilgrim's Legguards III,200.66,90.0,-110.66,-123.0,merrie-down,Wrought Iron Lames@kerys-bronyr; Coarse Leather String@ancien-volvestre; Bronze Buckle@inis_gallia-nones
Tempered Iron Skinning Knife,133.3,20.0,-113.3,-566.5,ancien-tolosa,Furry Collarstone@ancien-salias; Iron Knife Blade@merrie-ulaid; Long Wood Stock@kerys-aven; Iron Sheet@inis_gallia-langres; Coarse Leather Band@merrie-ardbog
Attuned Longbow,122.2,5.0,-117.2,-2344.0,kerys-pladenn,Furry Collarstone@ancien-salias; Rough Bow Stave@kerys-pladenn; Boar Sinew@merrie-gael; Coarse Leather Band@merrie-ardbog
Attuned Iron Mace,243.5,125.0,-118.5,-94.8,inis_gallia-nones,Furry Collarstone@ancien-salias; Mace Grip@inis_gallia-jura; Iron Ingot@merrie-yarborn; Iron Spike@inis_gallia-nones; Coarse Leather Band@merrie-ardbog; Bronze Nails@kerys-aven
Iron Mace,123.5,2.0,-121.5,-6075.0,ancien-lavedan,Mace Grip@inis_gallia-jura; Iron Ingot@merrie-yarborn; Iron Spike@inis_gallia-nones; Coarse Leather Band@merrie-ardbog; Bronze Nails@kerys-aven
Opaline Flower Band,124.0,2.0,-122.0,-6100.0,merrie-shire,Silver Ingot@kerys-tremen; Opal@merrie-ulaid
Iron Greatmaul,123.5,1.0,-122.5,-12250.0,ancien-tolosa,Mace Grip@inis_gallia-jura; Iron Ingot@merrie-yarborn; Iron Spike@inis_gallia-nones; Coarse Leather Band@merrie-ardbog; Bronze Nails@kerys-aven
Attuned Staff of Zephyr II,432.5,300.0,-132.5,-44.2,kerys-pladenn,Cracked Ethereal Crystal@inis_gallia-vitry; Lavender Extract@inis_gallia-langres; Spear Shaft@inis_gallia-jura; Iron Bar@inis_gallia-nones; Linen String@inis_gallia-langres; Coarse Leather Band@merrie-ardbog
Attuned Two-handed Iron Spear,160.21,27.0,-133.21,-493.4,merrie-shire,Worn Out Locket@kerys-llydaw; Spear Shaft@inis_gallia-jura; Iron Spike@inis_gallia-nones; Bronze Nails@kerys-aven; Coarse Leather Band@merrie-ardbog; Iron Bar@inis_gallia-nones
Attuned Iron Handspear,160.21,15.0,-145.21,-968.1,merrie-nene,Worn Out Locket@kerys-llydaw; Spear Shaft@inis_gallia-jura; Iron Spike@inis_gallia-nones; Bronze Nails@kerys-aven; Coarse Leather Band@merrie-ardbog; Iron Bar@inis_gallia-nones
Two-handed Iron Spear,158.5,10.0,-148.5,-1485.0,kerys-llydaw,Spear Shaft@inis_gallia-jura; Iron Spike@inis_gallia-nones; Bronze Nails@kerys-aven; Coarse Leather Band@merrie-ardbog; Iron Bar@inis_gallia-nones
Iron Handspear,158.5,2.0,-156.5,-7825.0,ancien-tursan,Spear Shaft@inis_gallia-jura; Iron Spike@inis_gallia-nones; Bronze Nails@kerys-aven; Coarse Leather Band@merrie-ardbog; Iron Bar@inis_gallia-nones
Silverleaf Bourrelet,165.12,5.0,-160.12,-3202.4,inis_gallia-aras,Linen Cloth@inis_gallia-ardennes; Wool Yarn@ancien-tursan; Sewing Needles@kerys-dreger; Opal@merrie-ulaid
Sylvan Staff III,478.3,300.0,-178.3,-59.4,ancien-salias,Hematite@ancien-tolosa; Spear Shaft@inis_gallia-jura; Long Fine Wood Stock@kerys-llydaw; Wool Yarn@ancien-tursan; Coarse Leather Band@merrie-ardbog; Linseed Oil@kerys-aven; Bronze Sheet@inis_gallia-trecassis
Golden Braid Circlet,240.02,50.0,-190.02,-380.0,kerys-llydaw,Aurum Ingot@merrie-yarborn; Sewing Needles@kerys-dreger
Forge parts,222.2,20.0,-202.2,-1011.0,merrie-ulaid,Long Fine Wood Stock@kerys-llydaw; Cotton Cord@merrie-nene; Boiled Leather@kerys-llydaw; Fine Wooden Plank@ancien-tursan; Wrought Iron Bar@inis_gallia-langres; Iron Anvil Head@inis_gallia-aras; Limestone@merrie-nene
Solar Oak Tiara,240.02,15.0,-225.02,-1500.1,merrie-ardbog,Aurum Ingot@merrie-yarborn; Sewing Needles@kerys-dreger
Warded Iron Greatmaul,2243.5,1950.0,-293.5,-15.1,kerys-tremen,Furry Collarstone@ancien-salias; Charm of the Path@kerys-bronyr; Mace Grip@inis_gallia-jura; Iron Ingot@merrie-yarborn; Iron Spike@inis_gallia-nones; Coarse Leather Band@merrie-ardbog; Bronze Nails@kerys-aven
Ironside's Greaves of Sacred Guard II,310.91,5.0,-305.91,-6118.1,merrie-nene,Worn Out Locket@kerys-llydaw; Amulet of Sanctity@inis_gallia-javerdus; Obsidian@kerys-vanes; Iron Wire@ancien-armanhac; Coarse Linen Cloth@ancien-tursan
Attuned Staff of Divine II,430.7,100.0,-330.7,-330.7,inis_gallia-ardennes,Cracked Ethereal Crystal@inis_gallia-vitry; Tansy Extract@inis_gallia-trecassis; Spear Shaft@inis_gallia-jura; Iron Bar@inis_gallia-nones; Linen String@inis_gallia-langres; Coarse Leather Band@merrie-ardbog
Herald's Plates of the Ironroot II,426.06,20.0,-406.06,-2030.3,kerys-dolavon,Worn Out Locket@kerys-llydaw; Talisman of Litanies@inis_gallia-javerdus; Amanita Regalis Extract@kerys-aven; Iron Sheet@inis_gallia-langres; Coarse Linen Cloth@ancien-tursan; Bronze Studs@kerys-aven; Coarse Leather Band@merrie-ardbog
Honed Bronze Skinning Knife,502.1,75.0,-427.1,-569.5,ancien-lavedan,Rough Whisper of the Star@kerys-pladenn; Bronze Bar@inis_gallia-aras; Sapwood@merrie-gael
Sanctified Oil II,520.5,75.0,-445.5,-594.0,merrie-nene,Ambergrasp Extract@kerys-dolavon; Chiseled Canonites@kerys-dolavon
Pilgrim's Tunic II,497.35,1.0,-496.35,-49635.0,kerys-bronyr,Worn Out Sigil@inis_gallia-langres; Amulet of Justice@kerys-bronyr; Lavender@ancien-lavedan; Sewing Needles@kerys-dreger; Linen Cloth@inis_gallia-ardennes; Linen String@inis_gallia-langres; Coarse Leather Band@merrie-ardbog
Shepherd's Steps of Rushing Wind II,506.93,1.0,-505.93,-50593.4,merrie-wiht,Worn Out Locket@kerys-llydaw; Amulet of the Seventh Mystery@kerys-aven; Alfalfa Extract@inis_gallia-trecassis; Sewing Needles@kerys-dreger; Coarse Wool Cloth@merrie-gael; Coarse Leather String@ancien-volvestre
Vanguard's Breeches of Holy Strikes II,510.17,2.0,-508.17,-25408.7,kerys-retz,Worn Out Locket@kerys-llydaw; Seal of the Martyrs@inis_gallia-javerdus; Quartz@inis_gallia-nones; Suede Leather@kerys-tremen; Linen String@inis_gallia-langres; Bronze Studs@kerys-aven; Coarse Leather String@ancien-volvestre
Warrior's Cuirass of Windlash II,542.85,28.0,-514.85,-1838.8,inis_gallia-jura,Furry Collarstone@ancien-salias; Sigil of Alcanor@ancien-lavedan; Magnetite@kerys-aven; Iron Sheet@inis_gallia-langres; Coarse Linen Cloth@ancien-tursan; Bronze Studs@kerys-aven; Coarse Leather Band@merrie-ardbog
Trickster's Coif of the Slosh II,606.81,2.0,-604.81,-30240.7,kerys-vanes,Worn Out Locket@kerys-llydaw; Sigil of Ambolon@inis_gallia-langres; Wolfsbane Seed Extract@inis_gallia-langres; Suede Leather@kerys-tremen; Quilted Linen Padding@inis_gallia-nones; Linen String@inis_gallia-langres
Ironside's Greaves of Vital Pulse II,614.41,5.0,-609.41,-12188.1,ancien-salias,Worn Out Locket@kerys-llydaw; Amulet of Holy See@inis_gallia-langres; Henbane Seeds@ancien-volvestre; Iron Wire@ancien-armanhac; Coarse Linen Cloth@ancien-tursan
Warrior's Helm of Second Breath II,661.5,5.0,-656.5,-13130.0,ancien-astarac,Furry Collarstone@ancien-salias; Veiled Doctrine@kerys-pladenn; Daisy Extract@inis_gallia-trecassis; Iron Sheet@inis_gallia-langres; Coarse Leather Band@merrie-ardbog; Bronze Buckle@inis_gallia-nones; Iron Studs@ancien-astarac
Cleric's Pantlet of the Hollow Seal II,671.29,2.0,-669.29,-33464.5,ancien-gravas,Cracked Ethereal Crystal@inis_gallia-vitry; Seal of the Flame@inis_gallia-javerdus; Lavender Extract@inis_gallia-langres; Sewing Needles@kerys-dreger; Linen Cloth@inis_gallia-ardennes; Coarse Leather String@ancien-volvestre; Bronze Buckle@inis_gallia-nones; Coarse Leather Band@merrie-ardbog
Cleric's Cap of Absolution II,770.84,1.0,-769.84,-76984.0,merrie-ulaid,Cracked Ethereal Crystal@inis_gallia-vitry; Saint Veridiana’s Breath@ancien-lavedan; Marsh Marigold@ancien-lavedan; Sewing Needles@kerys-dreger; Linen Cloth@inis_gallia-ardennes; Coarse Leather String@ancien-volvestre; Linen String@inis_gallia-langres
